"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
  Acadian - Multiple responses,0,10,40,10,40,0,10,0,0,45,0,10,0,10,0,0,0,0,10,10,10,0,190,570
Inuit - Total responses,0,25,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,85,585
  Inuit - Single responses,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,95
  Inuit - Multiple responses,0,15,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,50,495
Total population by visible minority groups,"14,040","27,720","21,210","27,550","28,975","32,805","44,235","13,965","25,470","39,430","21,740","24,400","11,905","44,785","21,820","8,760","6,680","11,055","33,275","26,510","41,910","12,680","539,630","1,967,480"
 Total visible minority population,"6,525","9,630","5,610","5,805","10,170","19,920","31,085","6,300","15,635","5,485","12,290","10,565","8,245","34,060","11,470","3,445","2,705","6,555","26,570","20,350","9,970","2,270","264,500","725,660"
  Chinese,"5,300","5,460","4,235","2,980","5,430","15,245","18,320","5,095","10,640","2,490","9,035","3,625","6,905","21,540","6,985","2,830","2,140","5,085","9,395","14,270","2,665","1,525","161,110","342,665"
  South Asian,210,650,340,415,535,740,"3,685",275,"1,490",590,655,760,370,"4,040",980,135,65,145,"11,360","2,260",860,135,"30,655","164,360"
  Black,40,310,85,235,445,245,260,100,330,250,145,615,35,420,195,30,60,115,260,155,425,40,"4,780","18,410"
  Filipino,85,385,110,460,955,790,"3,730",150,900,190,"1,120","2,770",180,"3,065","1,625",175,180,135,"2,755","1,520",690,105,"22,090","57,025"
  Latin American,50,495,25,290,485,440,840,50,515,255,100,315,0,575,335,25,35,240,435,370,585,30,"6,495","18,715"
  Southeast Asian,35,225,100,150,"1,385","1,430","2,715",30,320,145,180,"1,375",70,"2,235",650,10,10,540,"1,690","1,070",265,25,"14,665","28,465"
  Arab,10,195,25,85,65,10,220,15,50,100,20,60,85,60,75,10,15,80,50,35,205,0,"1,465","5,910"
  West Asian,40,445,10,230,100,145,95,30,150,220,230,250,120,70,40,10,0,20,50,75,795,20,"3,165","21,430"
  Korean,520,590,240,190,200,45,225,275,720,215,165,195,205,435,115,65,55,55,45,75,"1,440",115,"6,130","28,845"
  Japanese,135,670,295,625,330,380,250,200,325,780,400,290,185,570,200,75,90,55,130,285,"1,805",190,"8,280","24,025"
"  Visible minority, n.i.e.",15,50,30,60,55,45,85,10,70,80,45,95,15,205,25,10,15,40,45,20,70,15,"1,115","3,320"
  Multiple visible minorities,80,150,120,80,175,405,660,70,115,175,200,205,60,845,250,75,25,55,350,230,145,70,"4,550","12,495"
  All others,"7,515","18,090","15,605","21,745","18,805","12,890","13,150","7,670","9,835","33,940","9,445","13,830","3,660","10,725","10,355","5,315","3,970","4,500","6,700","6,160","31,940","10,410","275,130","1,241,815"
Total population by aboriginal and non-aboriginal population,"14,040","27,725","21,215","27,545","28,975","32,810","44,235","13,965","25,465","39,430","21,735","24,400","11,900","44,785","21,820","8,760","6,680","11,055","33,275","26,510","41,910","12,680","539,630","1,967,480"
 Total aboriginal identity population,45,"1,150",585,285,"2,610",605,680,40,240,345,230,"1,025",0,640,415,10,25,635,245,275,810,70,"10,445","36,855"
  North American Indian single response,20,805,520,150,"1,995",390,525,10,150,200,170,720,0,435,285,0,20,480,150,235,515,50,"7,335","22,700"
  Métis single response,25,305,35,120,490,195,135,35,60,115,45,230,0,150,95,0,0,140,80,20,265,10,"2,550","12,505"
  Inuit single response,0,25,0,10,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,55,260
  Multiple aboriginal response,0,0,0,0,40,10,0,0,10,10,0,65,0,15,0,0,0,0,10,10,10,0,160,400
  Aboriginal responses not included elsewhere,0,15,20,15,80,15,15,0,15,15,10,15,0,40,35,0,0,20,10,10,25,10,345,995
 Total non-aboriginal population,"14,000","26,575","20,630","27,260","26,365","32,205","43,555","13,925","25,230","39,085","21,510","23,370","11,895","44,145","21,400","8,755","6,650","10,420","33,025","26,235","41,105","12,605","529,185","1,930,620"
Total population by aboriginal and non-aboriginal population,"14,040","27,725","21,215","27,545","28,975","32,810","44,235","13,970","25,470","39,430","21,740","24,400","11,905","44,785","21,820","8,755","6,675","11,055","33,270","26,510","41,905","12,680","539,630","1,967,475"
 Total aboriginal origins population,110,"1,330",650,565,"2,955",780,910,100,410,710,390,"1,220",50,665,520,25,85,630,320,365,"1,305",140,"13,715","52,380"
  North American Indian single origin,10,585,485,55,"1,480",240,370,0,110,40,60,490,0,225,130,0,0,385,150,115,180,30,"4,675","11,750"
  North American Indian and non-aboriginal origins,95,535,120,335,"1,055",335,455,55,235,480,250,550,40,305,315,20,70,150,90,220,820,85,"6,580","27,135"
  Métis single origin,0,35,0,10,60,120,25,15,15,10,20,25,0,25,15,0,0,30,15,0,45,0,470,"2,270"
  Métis and non-aboriginal origins,10,115,30,145,290,80,50,35,20,155,55,110,10,35,50,10,10,50,35,0,190,25,"1,500","8,965"
  Inuit single origin,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,90
  Inuit and non-aboriginal origins,0,15,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,40,310
  Other aboriginal multiple origins,0,30,0,20,65,10,10,0,30,20,10,40,0,70,10,0,0,10,15,20,65,0,420,"1,855"
 Total non-aboriginal population,"13,925","26,390","20,565","26,980","26,015","32,030","43,325","13,865","25,055","38,720","21,345","23,180","11,850","44,125","21,300","8,730","6,590","10,430","32,955","26,140","40,605","12,540","525,915","1,915,095"
Total population 15 to 24 years by school attendance,"2,295","2,860","3,500","2,570","3,215","4,030","5,760","2,235","3,670","4,280","3,370","2,700","2,060","6,275","2,860","1,585",920,870,"4,610","4,085","4,735","1,830","70,130","265,875"
  Not attending school,415,"1,115",760,"1,000","1,515","1,210","2,090",320,835,"1,645",755,"1,160",245,"1,980",935,225,230,310,"1,570",920,"2,140",355,"21,640","87,675"
  Attending school full time,"1,750","1,300","2,495","1,320","1,295","2,285","2,995","1,800","2,485","2,220","2,350","1,165","1,720","3,610","1,615","1,265",585,500,"2,565","2,720","2,035","1,335","41,305","151,615"
  Attending school part time,125,445,250,255,405,535,680,125,355,420,265,375,100,685,305,90,100,65,470,440,565,135,"7,180","26,575"
Total population of males with postsecondary qualifications by major field of study,"3,335","9,160","5,460","8,205","5,725","4,880","7,055","3,370","4,835","11,975","5,035","5,675","2,690","7,305","4,515","2,310","1,755","1,815","4,970","4,310","13,630","3,595","121,295","400,810"
"  Educational, recreational and counselling services",170,450,330,415,260,215,315,185,215,690,185,295,90,320,135,80,60,75,275,165,835,145,"5,880","20,090"
  Fine and applied arts,65,595,220,545,635,285,400,70,225,620,170,585,100,265,310,40,85,200,175,235,"1,105",160,"7,090","16,855"
  Humanities and related fields,260,720,355,850,715,390,510,240,275,"1,335",300,565,145,400,460,155,210,245,335,260,"1,580",370,"10,665","25,270"
  Social sciences and related fields,540,"1,260","1,010","1,205",735,380,680,475,350,"1,955",485,585,300,660,465,510,265,205,520,385,"1,980",585,"15,475","40,265"
"  Commerce, management and business administration",725,"2,190","1,115","1,545",665,715,"1,010",840,980,"2,070",850,700,660,"1,270",730,480,310,180,950,840,"2,575",545,"21,870","73,620"
"  Agricultural, biological, nutritional, and food sciences",155,385,230,420,350,220,410,90,260,575,290,350,90,350,245,35,85,100,235,175,750,215,"6,000","18,330"
  Engineering and applied sciences,435,915,765,965,460,520,770,435,620,"1,555",825,670,435,645,460,340,220,140,525,475,"1,415",415,"13,960","41,520"
  Applied science technologies and trades,385,"1,470",540,"1,095","1,300","1,580","2,085",315,"1,255","1,505","1,065","1,185",315,"2,420","1,120",140,245,515,"1,360","1,275","1,860",395,"23,385","119,695"
  Health professions and related technologies,315,510,505,605,275,210,320,445,300,690,370,305,350,280,240,385,140,15,255,145,620,335,"7,595","19,335"
"  Mathematics, computer and physical sciences",280,640,390,550,305,360,550,270,360,965,475,405,210,655,335,135,125,135,330,340,880,415,"9,090","24,845"
  No specialization,0,20,0,10,15,15,0,10,0,15,25,20,0,35,20,0,10,0,10,10,45,10,285,980
Total population of females with postsecondary qualifications by major field of study,"3,585","6,855","5,775","10,180","6,185","4,820","6,985","3,915","5,100","13,975","5,390","5,900","2,610","6,995","5,185","2,485","1,895","1,130","4,955","4,300","12,515","3,925","124,385","398,600"
"  Educational, recreational and counselling services",575,695,"1,115","1,190",740,690,785,595,840,"2,055",595,690,220,725,745,355,335,190,635,400,"1,250",505,"15,895","57,940"
  Fine and applied arts,225,735,330,915,880,505,540,215,325,"1,260",435,780,200,405,610,210,120,205,235,295,"1,400",300,"11,110","31,065"
  Humanities and related fields,455,885,545,"1,400",825,345,650,465,420,"1,840",520,725,240,595,570,335,215,180,435,325,"1,800",595,"14,325","35,240"
  Social sciences and related fields,490,950,945,"1,485","1,070",450,680,555,460,"2,430",535,720,355,650,605,380,315,105,455,490,"1,745",650,"16,525","41,600"
"  Commerce, management and business administration",790,"1,875","1,155","2,245","1,020","1,340","1,965",925,"1,370","2,540","1,400","1,105",800,"2,315","1,165",590,365,175,"1,375","1,505","3,060",555,"29,590","109,835"
"  Agricultural, biological, nutritional, and food sciences",175,235,275,570,310,280,370,145,290,820,325,340,140,390,270,120,120,55,280,265,715,265,"6,755","19,525"
  Engineering and applied sciences,65,195,120,205,155,125,235,60,120,320,190,155,90,170,85,35,45,35,130,105,350,80,"3,045","7,710"
  Applied science technologies and trades,55,215,115,225,265,265,365,50,220,285,165,195,65,370,125,30,40,65,285,95,450,80,"4,010","15,445"
  Health professions and related technologies,590,725,970,"1,660",740,620,"1,130",745,875,"2,025",965,965,420,"1,105",865,340,285,85,885,640,"1,225",720,"18,515","66,595"
"  Mathematics, computer and physical sciences",150,310,190,275,130,180,250,145,160,325,250,205,75,240,135,90,45,35,225,160,470,170,"4,210","12,415"
  No specialization,10,30,20,15,40,10,10,10,25,65,25,15,0,20,10,10,10,0,10,10,55,0,400,"1,235"
Total population 20 years and over by highest level of schooling,"10,995","25,620","15,685","24,995","23,880","25,200","33,700","10,770","19,100","34,845","17,270","20,480","9,415","34,160","17,265","6,685","5,400","9,555","24,620","20,120","39,555","9,995","438,345","1,490,080"
  Less than grade 9,375,"1,420",305,410,"2,890","4,435","5,780",430,"1,920",720,870,"1,520",600,"5,485","1,705",150,215,"2,870","4,055","3,155",755,220,"40,240","99,390"
  Grades 9 to 13,"2,220","4,605","2,085","3,070","5,740","8,005","9,600","1,650","4,945","3,905","3,720","4,555","2,305","10,525","3,385",905,775,"2,785","7,675","6,010","6,785",940,"96,010","396,015"
    Without high school graduation certificate,975,"2,725",825,"1,460","3,560","4,720","6,035",675,"2,665","1,880","1,885","2,760","1,185","6,295","1,810",410,385,"2,035","4,505","3,340","3,370",425,"53,815","218,805"
    With high school graduation certificate,"1,245","1,880","1,260","1,605","2,180","3,285","3,570",970,"2,275","2,025","1,830","1,790","1,120","4,230","1,575",500,390,750,"3,170","2,665","3,420",515,"42,200","177,210"
  Trades certificate or diploma,570,"2,120",775,"1,465","2,165","2,195","2,720",500,"1,570","2,245","1,415","1,725",535,"2,915","1,475",295,360,790,"1,985","1,645","2,910",565,"32,855","156,285"
  College,"2,030","5,895","2,845","6,260","5,575","4,740","6,635","1,940","4,280","7,565","3,710","4,770","1,640","6,680","3,915",950,"1,075","1,285","4,435","3,730","10,480","1,790","92,010","355,150"
    Without certificate or diploma,630,"1,750",800,"1,445","1,860","1,800","2,450",415,"1,205","1,800","1,035","1,515",520,"2,240","1,295",210,310,540,"1,615","1,225","2,675",510,"27,745","106,330"
    With certificate or diploma,"1,400","4,145","2,045","4,810","3,720","2,940","4,190","1,525","3,075","5,765","2,675","3,255","1,120","4,435","2,615",735,760,745,"2,815","2,505","7,805","1,285","64,260","248,820"
  University,"5,810","11,585","9,670","13,795","7,505","5,820","8,955","6,250","6,390","20,415","7,555","7,910","4,330","8,560","6,790","4,385","2,980","1,825","6,470","5,580","18,620","6,480","177,230","483,240"
    Without degree,"1,430","3,055","1,905","2,730","2,350","2,040","3,005","1,560","1,865","3,675","2,015","2,170","1,210","2,915","1,865",980,690,575,"2,075","1,900","5,045","1,110","46,025","147,890"
      Without certificate or diploma,880,"1,865","1,330","1,705","1,520","1,310","1,870","1,030","1,155","2,525","1,230","1,360",700,"1,735","1,210",635,480,430,"1,400","1,170","3,290",845,"29,630","92,670"
      With certificate or diploma,550,"1,190",580,"1,030",830,725,"1,130",525,710,"1,150",780,810,505,"1,190",655,350,210,150,675,730,"1,755",265,"16,400","55,220"
    With bachelor's degree or higher,"4,380","8,525","7,765","11,065","5,155","3,785","5,950","4,695","4,525","16,740","5,540","5,745","3,125","5,640","4,925","3,400","2,295","1,245","4,400","3,680","13,580","5,375","131,200","335,350"
Population - 15 years and over by labour force activity,"12,140","26,280","17,510","25,695","24,985","27,080","36,280","11,955","21,030","36,070","18,840","21,290","10,415","37,005","18,485","7,505","5,770","9,950","26,695","22,120","40,310","10,840","467,195","1,620,915"
 In the labour force - 15 years and over ,"6,475","17,690","11,130","19,630","17,310","16,685","23,075","7,155","12,900","28,130","11,745","15,605","4,830","22,620","12,220","4,505","3,905","4,360","16,310","12,610","28,525","7,135","303,935","1,073,010"
  Employed - 15 years and over,"6,145","15,825","10,365","18,505","15,270","15,305","20,725","6,570","11,665","26,520","10,765","14,280","4,490","20,825","11,420","4,315","3,715","3,430","14,725","11,510","26,325","6,695","278,840","995,320"
  Unemployed - 15 years and over ,335,"1,865",760,"1,125","2,040","1,375","2,355",585,"1,230","1,610",985,"1,325",335,"1,790",800,190,190,920,"1,580","1,100","2,195",440,"25,095","77,695"
 Not in the labour force - 15 years and over,"5,665","8,595","6,380","6,065","7,675","10,395","13,205","4,805","8,135","7,940","7,090","5,680","5,585","14,390","6,265","3,000","1,860","5,600","10,390","9,510","11,785","3,710","163,255","547,910"
 Participation rate - 15 years and over,53.3,67.3,63.6,76.4,69.3,61.6,63.6,59.8,61.3,78.0,62.3,73.3,46.4,61.1,66.1,60.0,67.7,43.8,61.1,57.0,70.8,65.8,65.1,66.2
 Employment rate - 15 years and over ,50.6,60.2,59.2,72.0,61.1,56.5,57.1,54.9,55.5,73.5,57.1,67.1,43.1,56.3,61.8,57.5,64.4,34.5,55.2,52.0,65.3,61.8,59.7,61.4
 Unemployment rate - 15 years and over ,5.2,10.5,6.8,5.7,11.8,8.2,10.2,8.2,9.5,5.7,8.4,8.5,6.9,7.9,6.5,4.2,4.9,21.1,9.7,8.7,7.7,6.2,8.3,7.2
Population - 15-24 years,"2,290","2,860","3,500","2,570","3,210","4,035","5,765","2,240","3,675","4,280","3,365","2,700","2,060","6,275","2,860","1,580",915,870,"4,605","4,080","4,735","1,830","70,130","265,875"
  In the labour force - 15-24 years,965,"1,685","1,810","1,745","2,225","2,315","3,410",965,"1,775","3,065","1,725","1,780",740,"3,445","1,690",560,530,475,"2,625","1,880","2,880",990,"39,195","157,455"
   Employed - 15-24 years,840,"1,495","1,505","1,530","1,835","1,960","2,950",710,"1,425","2,690","1,430","1,555",640,"3,085","1,495",480,470,340,"2,280","1,615","2,580",815,"33,635","135,680"
   Unemployed - 15-24 years,130,190,310,215,390,355,460,255,355,375,295,220,105,365,205,85,60,140,345,260,300,175,"5,555","21,770"
  Not in the labour force - 15-24 years,"1,330","1,175","1,690",825,990,"1,720","2,355","1,270","1,900","1,215","1,645",925,"1,320","2,830","1,165","1,020",390,395,"1,980","2,200","1,860",835,"30,935","108,415"
  Participation rate - 15-24 years,42.1,58.9,51.7,67.9,69.3,57.4,59.2,43.1,48.3,71.6,51.3,65.9,35.9,54.9,59.1,35.4,57.9,54.6,57.0,46.1,60.8,54.1,55.9,59.2
  Employment rate - 15-24 years,36.7,52.3,43.0,59.5,57.2,48.6,51.2,31.7,38.8,62.9,42.5,57.6,31.1,49.2,52.3,30.4,51.4,39.1,49.5,39.6,54.5,44.5,48.0,51.0
  Unemployment rate - 15-24 years,13.5,11.3,17.1,12.3,17.5,15.3,13.5,26.4,20.0,12.2,17.1,12.4,14.2,10.6,12.1,15.2,11.3,29.5,13.1,13.8,10.4,17.7,14.2,13.8
Population - 25 years and over,"9,845","23,420","14,005","23,130","21,775","23,045","30,515","9,720","17,355","31,785","15,470","18,585","8,350","30,730","15,625","5,920","4,850","9,085","22,090","18,040","35,575","9,015","397,060","1,355,040"
  In the labour force - 25 years and over,"5,510","16,005","9,315","17,880","15,085","14,365","19,665","6,190","11,120","25,065","10,025","13,825","4,090","19,170","10,525","3,945","3,375","3,880","13,685","10,725","25,645","6,150","264,745","915,555"
   Employed - 25 years and over,"5,305","14,335","8,865","16,965","13,435","13,350","17,775","5,860","10,240","23,830","9,335","12,720","3,850","17,750","9,930","3,835","3,250","3,095","12,445","9,890","23,745","5,875","245,205","859,635"
   Unemployed - 25 years and over,205,"1,670",450,915,"1,650","1,025","1,890",330,875,"1,235",695,"1,105",235,"1,425",595,105,135,785,"1,235",835,"1,900",270,"19,540","55,920"
 Not in the labour force - 25 years and over,"4,335","7,415","4,695","5,245","6,690","8,675","10,850","3,530","6,240","6,725","5,445","4,760","4,265","11,555","5,100","1,980","1,470","5,200","8,405","7,310","9,925","2,870","132,325","439,490"
  Participation rate - 25 years and over,56.0,68.3,66.5,77.3,69.3,62.3,64.4,63.7,64.1,78.9,64.8,74.4,49.0,62.4,67.4,66.6,69.6,42.7,62.0,59.5,72.1,68.2,66.7,67.6
  Employment rate - 25 years and over,53.9,61.2,63.3,73.3,61.7,57.9,58.3,60.3,59.0,75.0,60.3,68.4,46.1,57.8,63.6,64.8,67.0,34.1,56.3,54.8,66.7,65.2,61.8,63.4
  Unemployment rate - 25 years and over,3.7,10.4,4.8,5.1,10.9,7.1,9.6,5.3,7.9,4.9,6.9,8.0,5.7,7.4,5.7,2.7,4.0,20.2,9.0,7.8,7.4,4.4,7.4,6.1
Total - Males 15 years and over,"5,510","15,580","8,430","11,290","12,380","13,200","17,650","5,435","9,920","16,915","8,945","10,655","4,770","17,955","8,735","3,580","2,670","5,675","12,955","10,555","21,100","5,085","228,475","787,520"
 In the labour force - Males 15 years and over,"3,355","10,705","5,775","9,140","9,035","8,610","12,075","3,580","6,485","13,775","6,035","8,230","2,525","11,865","6,120","2,280","1,910","2,725","8,590","6,435","15,635","3,600","158,155","563,755"
  Employed - Males 15 years and over,"3,150","9,375","5,405","8,565","7,860","7,975","10,745","3,280","5,890","13,000","5,520","7,520","2,400","10,820","5,695","2,175","1,810","2,090","7,845","5,845","14,410","3,375","144,450","522,775"
  Unemployed - Males 15 years and over,205,"1,325",375,575,"1,180",640,"1,330",305,595,775,515,710,130,"1,045",425,105,100,635,745,590,"1,225",225,"13,705","40,975"
  Not in the labour force - Males 15 years and over,"2,160","4,875","2,655","2,155","3,340","4,590","5,575","1,855","3,430","3,135","2,915","2,425","2,250","6,085","2,615","1,305",760,"2,950","4,365","4,120","5,465","1,485","70,325","223,765"
  Participation rate - Males 15 years and over,60.9,68.7,68.5,81.0,73.0,65.2,68.4,65.9,65.4,81.4,67.5,77.2,52.9,66.1,70.1,63.7,71.5,48.0,66.3,61.0,74.1,70.8,69.2,71.6
  Employment rate - Males 15 years and over,57.2,60.2,64.1,75.9,63.5,60.4,60.9,60.3,59.4,76.9,61.7,70.6,50.3,60.3,65.2,60.8,67.8,36.8,60.6,55.4,68.3,66.4,63.2,66.4
  Unemployment rate - Males 15 years and over,6.1,12.4,6.5,6.3,13.1,7.4,11.0,8.5,9.2,5.6,8.5,8.6,5.1,8.8,6.9,4.6,5.2,23.3,8.7,9.2,7.8,6.2,8.7,7.3
Total - Males 15-24 years,"1,170","1,465","1,830","1,105","1,460","2,060","2,910","1,170","2,095","1,930","1,650","1,270",990,"3,305","1,530",840,405,450,"2,395","2,170","2,110",915,"35,100","135,730"
  In the labour force - Males 15-24 years,470,910,900,750,"1,025","1,095","1,715",470,945,"1,280",805,805,300,"1,835",845,250,200,245,"1,355",890,"1,365",435,"18,825","78,815"
   Employed - Males 15-24 years,400,815,740,655,830,965,"1,435",335,755,"1,080",665,700,245,"1,600",750,200,165,205,"1,240",750,"1,230",360,"16,075","67,255"
   Unemployed - Males 15-24 years,70,85,160,100,195,135,275,140,190,200,140,110,55,235,100,45,30,35,110,140,135,70,"2,750","11,555"
  Not in the labour force - Males 15-24 years,700,555,925,355,435,965,"1,195",700,"1,145",645,850,465,695,"1,470",680,590,210,205,"1,040","1,280",740,475,"16,270","56,920"
  Participation rate - Males 15-24 years,40.2,62.1,49.2,67.9,70.2,53.2,58.9,40.2,45.1,66.3,48.8,63.4,30.3,55.5,55.2,29.8,49.4,54.4,56.6,41.0,64.7,47.5,53.6,58.1
  Employment rate - Males 15-24 years,34.2,55.6,40.4,59.3,56.8,46.8,49.3,28.6,36.0,56.0,40.3,55.1,24.7,48.4,49.0,23.8,40.7,45.6,51.8,34.6,58.3,39.3,45.8,49.6
  Unemployment rate - Males 15-24 years,14.9,9.3,17.8,13.3,19.0,12.3,16.0,29.8,20.1,15.6,17.4,13.7,18.3,12.8,11.8,18.0,15.0,14.3,8.1,15.7,9.9,16.1,14.6,14.7
Total - Males 25 years and over,"4,340","14,115","6,605","10,185","10,915","11,135","14,745","4,265","7,825","14,985","7,295","9,385","3,780","14,655","7,215","2,745","2,265","5,225","10,555","8,385","18,995","4,175","193,375","651,785"
  In the labour force - Males 25 years and over,"2,885","9,795","4,875","8,385","8,010","7,515","10,360","3,110","5,540","12,495","5,230","7,425","2,220","10,035","5,275","2,035","1,715","2,480","7,235","5,550","14,270","3,165","139,325","484,935"
   Employed - Males 25 years and over,"2,750","8,560","4,665","7,910","7,030","7,010","9,305","2,945","5,135","11,925","4,855","6,825","2,150","9,230","4,945","1,975","1,650","1,880","6,600","5,095","13,185","3,010","128,370","455,520"
   Unemployed - Males 25 years and over,135,"1,235",210,470,985,505,"1,060",165,400,570,375,600,75,805,330,55,70,595,630,455,"1,090",155,"10,955","29,415"
  Not in the labour force - Males 25 years and over,"1,455","4,320","1,730","1,800","2,910","3,625","4,385","1,155","2,290","2,490","2,070","1,960","1,555","4,615","1,940",710,555,"2,745","3,325","2,840","4,725","1,005","54,050","166,850"
  Participation rate - Males 25 years and over,66.5,69.4,73.8,82.3,73.4,67.5,70.3,72.9,70.8,83.4,71.7,79.1,58.7,68.5,73.1,74.1,75.7,47.5,68.5,66.2,75.1,75.8,72.0,74.4
  Employment rate - Males 25 years and over,63.4,60.6,70.6,77.7,64.4,63.0,63.1,69.1,65.6,79.6,66.6,72.7,56.9,63.0,68.5,71.9,72.8,36.0,62.5,60.8,69.4,72.1,66.4,69.9
  Unemployment rate - Males 25 years and over,4.7,12.6,4.3,5.6,12.3,6.7,10.2,5.3,7.2,4.6,7.2,8.1,3.4,8.0,6.3,2.7,4.1,24.0,8.7,8.2,7.6,4.9,7.9,6.1
Total - Females 15 years and over,"6,630","10,700","9,075","14,405","12,610","13,875","18,630","6,525","11,115","19,155","9,895","10,635","5,645","19,050","9,750","3,925","3,095","4,275","13,740","11,565","19,210","5,755","238,715","833,400"
 In the labour force - Females 15 years and over,"3,120","6,985","5,350","10,490","8,270","8,070","11,000","3,570","6,410","14,355","5,715","7,375","2,305","10,750","6,100","2,225","2,000","1,630","7,715","6,170","12,890","3,535","145,780","509,255"
  Employed - Females 15 years and over,"2,995","6,450","4,960","9,940","7,410","7,335","9,975","3,290","5,775","13,515","5,245","6,760","2,095","10,005","5,725","2,140","1,905","1,345","6,880","5,665","11,915","3,315","134,395","472,545"
  Unemployed - Females 15 years and over,125,540,390,550,865,740,"1,020",280,635,835,470,615,210,745,375,90,90,285,835,510,975,215,"11,385","36,715"
 Not in the labour force - Females 15 years and over,"3,505","3,710","3,725","3,915","4,340","5,810","7,630","2,950","4,705","4,805","4,175","3,255","3,340","8,300","3,650","1,700","1,100","2,645","6,025","5,390","6,315","2,220","92,935","324,140"
 Participation rate - Females 15 years and over,47.1,65.3,59.0,72.8,65.6,58.2,59.0,54.7,57.7,74.9,57.8,69.3,40.8,56.4,62.6,56.7,64.6,38.1,56.1,53.4,67.1,61.4,61.1,61.1
 Employment rate - Females 15 years and over,45.2,60.3,54.7,69.0,58.8,52.9,53.5,50.4,52.0,70.6,53.0,63.6,37.1,52.5,58.7,54.5,61.6,31.5,50.1,49.0,62.0,57.6,56.3,56.7
 Unemployment rate - Females 15 years and over,4.0,7.7,7.3,5.2,10.5,9.2,9.3,7.8,9.9,5.8,8.2,8.3,9.1,6.9,6.1,4.0,4.5,17.5,10.8,8.3,7.6,6.1,7.8,7.2
Total - Females 15-24 years,"1,120","1,395","1,675","1,465","1,755","1,970","2,855","1,065","1,580","2,355","1,715","1,430","1,065","2,975","1,335",740,515,420,"2,210","1,910","2,630",915,"35,030","130,140"
  In the labour force - Females 15-24 years,490,775,910,995,"1,200","1,215","1,700",490,830,"1,785",925,975,440,"1,610",850,310,330,230,"1,275",995,"1,515",555,"20,365","78,640"
   Employed - Females 15-24 years,435,675,760,880,"1,005",995,"1,510",375,670,"1,610",770,865,390,"1,485",740,280,300,130,"1,040",870,"1,350",455,"17,560","68,425"
   Unemployed - Females 15-24 years,55,100,150,115,200,220,185,115,160,170,150,115,45,125,105,35,30,100,235,125,165,100,"2,810","10,210"
  Not in the labour force - Females 15-24 years,625,620,760,470,555,750,"1,160",575,750,570,795,455,630,"1,360",490,430,180,190,940,920,"1,115",355,"14,670","51,505"
  Participation rate - Females 15-24 years,43.8,55.6,54.3,67.9,68.4,61.7,59.5,46.0,52.5,75.8,53.9,68.2,41.3,54.1,63.7,41.9,64.1,54.8,57.7,52.1,57.6,60.7,58.1,60.4
  Employment rate - Females 15-24 years,38.8,48.4,45.4,60.1,57.3,50.5,52.9,35.2,42.4,68.4,44.9,60.5,36.6,49.9,55.4,37.8,58.3,31.0,47.1,45.5,51.3,49.7,50.1,52.6
  Unemployment rate - Females 15-24 years,11.2,12.9,16.5,11.6,16.7,18.1,10.9,23.5,19.3,9.5,16.2,11.8,10.2,7.8,12.4,11.3,9.1,43.5,18.4,12.6,10.9,18.0,13.8,13.0
Total - Females 25 years and over,"5,510","9,300","7,405","12,940","10,855","11,905","15,770","5,455","9,530","16,805","8,175","9,200","4,575","16,075","8,415","3,180","2,585","3,860","11,530","9,655","16,580","4,840","203,685","703,255"
  In the labour force - Females 25 years and over,"2,625","6,210","4,440","9,495","7,075","6,850","9,300","3,080","5,580","12,570","4,795","6,405","1,865","9,140","5,250","1,910","1,665","1,400","6,445","5,180","11,375","2,975","125,415","430,620"
   Employed - Females 25 years and over,"2,560","5,775","4,200","9,060","6,405","6,335","8,470","2,915","5,110","11,910","4,475","5,895","1,700","8,520","4,985","1,860","1,600","1,215","5,845","4,795","10,565","2,865","116,835","404,115"
   Unemployed - Females 25 years and over,70,435,240,440,665,515,830,160,475,665,320,510,165,620,265,50,65,185,605,390,810,115,"8,585","26,500"
